,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
60,vila franca do campo,pt,37.72,59,67,40,11.41
61,severo-kurilsk,ru,50.68,28.76,100,64,6.17
62,grand gaube,mu,-20.01,80.6,78,75,9.17
63,alofi,nu,-19.06,80.6,83,75,3.36
64,victoria,sc,5.28,77.77,94,75,5.82
65,mys shmidta,ru,5.28,77.77,94,75,5.82
66,grindavik,is,63.84,39.2,86,0,4.7
67,petropavlovsk-kamchatskiy,ru,53.05,26.6,68,40,11.18
68,luderitz,na,-26.65,62.6,88,0,8.05
69,cape town,za,-33.93,62.6,93,90,11.41
70,east london,za,-33.02,64.4,93,40,5.82
71,wahran,dz,-33.02,64.4,93,40,5.82
72,kapaa,us,22.08,75.2,73,75,9.17
73,salalah,om,17.01,80.6,65,0,3.36
74,cape town,za,-33.93,62.6,93,90,11.41
75,cumberland,us,41.97,52.32,66,90,5.95
76,buchanan,lr,5.88,82.4,83,40,3.83
77,kaohsiung,tw,22.62,66.07,82,40,3.36
78,punta arenas,cl,-53.16,50.85,40,0,13.87
79,rikitea,pf,-23.12,78.89,100,0,2.15
80,qaanaaq,gl,77.48,-9.68,84,0,4.94
81,aklavik,ca,68.22,2.8,42,5,10.29
82,kitakata,jp,37.67,30.2,84,0,3.38
83,nikolskoye,ru,59.7,21.2,85,0,4.47
84,bernau,de,48.05,46.4,65,92,5.82
85,punta arenas,cl,-53.16,50.85,40,0,13.87
86,qasigiannguit,gl,68.82,17.6,61,0,2.48
87,cherskiy,ru,68.75,3.56,73,80,3.71
88,punta arenas,cl,-53.16,50.85,40,0,13.87
89,hermanus,za,-34.42,59.99,92,88,0.69
90,new norfolk,au,-42.78,60.8,59,20,10.29
91,chillicothe,us,39.33,61.25,100,90,13.87
92,rikitea,pf,-23.12,78.89,100,0,2.15
93,port lincoln,au,-34.72,64.31,97,68,8.86
94,dandong,cn,40.12,36.72,49,0,5.95
95,kaitangata,nz,-46.28,61.39,78,56,9.31
96,nome,us,30.04,75.24,64,75,6.93
97,hilo,us,19.71,66.92,65,1,8.05
98,qingyuan,cn,27.62,51.4,94,0,1.92
99,ijaki,ki,27.62,51.4,94,0,1.92
100,port alfred,za,-33.59,67.69,100,92,2.59
101,lompoc,us,34.64,65.03,68,1,10.29
102,butaritari,ki,3.07,80.73,100,36,6.85
103,katherine,au,-14.47,77,88,75,4.7
104,butaritari,ki,3.07,80.73,100,36,6.85
105,salgueiro,br,-8.07,78.62,73,44,4.61
106,yellowknife,ca,62.45,-7.61,48,5,8.05
107,barentsburg,sj,62.45,-7.61,48,5,8.05
108,bluff,nz,-23.58,73.98,71,0,13.22
109,ponta do sol,cv,-20.63,76.41,57,0,3.49
110,rosarito,mx,4.91,71.17,82,75,5.82
111,omsukchan,ru,62.53,14.05,87,92,3.6
112,huacho,pe,-11.11,74.21,69,8,4.72
113,fortuna,us,38.18,59.23,93,0,2.24
114,kushiro,jp,43.11,28.67,87,0,5.17
115,norman wells,ca,65.28,1.4,41,5,16.11
116,mahebourg,mu,-20.41,80.6,78,75,9.17
117,butaritari,ki,3.07,80.73,100,36,6.85
118,sao filipe,cv,14.9,70.75,97,8,15.46
119,rosario oeste,br,-14.84,79.11,89,36,5.61
120,vaini,to,15.34,68.27,95,0,2.59
121,san jorge,ni,13.41,87.57,73,0,6.51
122,ossora,ru,59.24,26.29,96,92,6.06
123,morris,ca,41.36,50.2,71,75,4.7
124,hualmay,pe,-11.1,74.21,69,8,4.72
125,omboue,ga,-1.57,83.35,100,12,9.98
126,ushuaia,ar,-54.81,50,76,75,14.99
127,ahipara,nz,-35.17,66.92,97,32,3.6
128,fairbanks,us,64.84,29.03,74,90,4.7
129,guangyuan,cn,32.43,56.66,90,92,2.15
130,haines junction,ca,60.75,21.47,85,76,2.37
131,melnikovo,ru,56.55,32.54,87,44,14.56
132,albany,au,42.65,46.06,93,90,3.36
133,jabonga,ph,9.34,77.27,98,8,7.4
134,kamenskoye,ru,9.34,77.27,98,8,7.4
135,thano bula khan,pk,9.34,77.27,98,8,7.4
136,manaure,co,11.78,93.2,41,20,13.87
137,sorland,no,67.67,37.9,100,88,15.35
138,mackenzie,ca,55.34,37.4,47,1,10.29
139,toguchin,ru,55.24,29.07,88,56,15.01
140,mataura,pf,-46.19,61.52,76,20,12.33
141,namibe,ao,-15.19,77.54,100,8,11.77
142,boralday,kz,43.36,53.6,50,75,8.95
143,awjilah,ly,29.14,56.21,60,0,5.73
144,lavrentiya,ru,65.58,23.67,99,88,16.24
145,tuktoyaktuk,ca,69.44,-4.01,64,5,16.11
146,saint george,bm,39.45,46.4,70,0,2.82
147,carnarvon,au,-30.97,60.4,87,92,4.5
148,rikitea,pf,-23.12,78.89,100,0,2.15
149,saint george,bm,39.45,46.4,70,0,2.82
150,sur,om,22.57,80.82,76,0,4.27
151,hilo,us,19.71,66.92,65,1,8.05
152,mataura,pf,-46.19,61.52,76,20,12.33
153,tula,mx,54.19,1.04,61,0,2.82
154,cidreira,br,-30.17,75.02,87,76,7.52
155,severo-kurilsk,ru,50.68,28.76,100,64,6.17
156,vrangel,ru,42.73,34.92,92,0,7.4
157,bluff,nz,-23.58,73.98,71,0,13.22
158,kodiak,us,39.95,42.8,70,90,8.05
159,barentsburg,sj,39.95,42.8,70,90,8.05
160,rikitea,pf,-23.12,78.89,100,0,2.15
161,rikitea,pf,-23.12,78.89,100,0,2.15
162,punta arenas,cl,-53.16,50.85,40,0,13.87
163,katsuura,jp,33.93,43.7,82,0,6.73
164,flinders,au,-34.58,64.4,82,0,5.82
165,port elizabeth,za,39.31,65.62,56,1,4.7
166,punta de piedra,hn,7.62,77,87,64,2.71
167,herouville-saint-clair,fr,49.21,44.04,87,75,11.41
168,mar del plata,ar,-46.43,64.22,39,0,15.79
169,airai,pw,-8.93,65.12,89,0,1.59
170,vaini,to,15.34,68.27,95,0,2.59
171,avarua,ck,-21.21,84.2,74,75,6.93
172,punta arenas,cl,-53.16,50.85,40,0,13.87
173,gornopravdinsk,ru,60.06,14.13,73,80,9.64
174,umzimvubu,za,60.06,14.13,73,80,9.64
175,esperance,au,10.24,84.2,62,20,13.87
176,puerto ayora,ec,-0.74,82.4,69,75,12.75
177,ushuaia,ar,-54.81,50,76,75,14.99
178,byron bay,au,-28.65,71.6,94,75,6.93
179,champerico,gt,16.38,96.8,28,40,6.93
180,bengkulu,id,16.38,96.8,28,40,6.93
181,bilsanda,in,28.25,71.91,55,64,10.2
182,new norfolk,au,-42.78,60.8,59,20,10.29
183,jalu,ly,29.03,55.22,55,0,3.94
184,amderma,ru,29.03,55.22,55,0,3.94
185,daru,pg,7.99,79.25,75,20,8.75
186,qaanaaq,gl,77.48,-9.68,84,0,4.94
187,borborema,br,-21.62,84.02,60,56,3.6
188,mahebourg,mu,-20.41,80.6,78,75,9.17
189,kodiak,us,39.95,42.8,70,90,8.05
190,sao filipe,cv,14.9,70.75,97,8,15.46
191,port alfred,za,-33.59,67.69,100,92,2.59
192,taolanaro,mg,-33.59,67.69,100,92,2.59
193,taolanaro,mg,-33.59,67.69,100,92,2.59
194,punta arenas,cl,-53.16,50.85,40,0,13.87
195,cairns,au,-16.92,69.8,88,0,1.12
196,mukhen,ru,48.19,14.31,72,0,4.16
197,nizhneyansk,ru,48.19,14.31,72,0,4.16
198,mahanoro,mg,-19.9,71.69,99,88,3.04
199,severo-kurilsk,ru,50.68,28.76,100,64,6.17
200,alice,us,27.75,85.06,42,1,6.62
201,kaitangata,nz,-46.28,61.39,78,56,9.31
202,avera,pf,33.19,78.46,47,75,6.93
203,sokolo,ml,14.74,81.27,61,56,2.82
204,cape town,za,-33.93,62.6,93,90,11.41
205,punta arenas,cl,-53.16,50.85,40,0,13.87
206,qaanaaq,gl,77.48,-9.68,84,0,4.94
207,barentsburg,sj,77.48,-9.68,84,0,4.94
208,ushuaia,ar,-54.81,50,76,75,14.99
209,tautira,pf,-17.73,87.8,62,40,6.93
210,longyearbyen,sj,78.22,1.4,70,20,11.41
211,aginskoye,ru,51.11,19.62,66,0,4.05
212,ilhabela,br,-23.78,80.29,100,24,14.45
213,umzimvubu,za,-23.78,80.29,100,24,14.45
214,douglas,us,31.34,71.6,12,1,4.27
215,dikson,ru,73.51,-6.12,87,36,10.09
216,atambua,id,-9.11,75.47,100,8,2.82
217,auki,sb,12.18,73.44,27,0,7.29
218,barrow,us,-38.31,73.31,51,0,11.77
219,thompson,ca,55.74,3.2,49,75,18.34
220,busselton,au,-33.64,60.71,100,8,16.24
221,wladyslawowo,pl,54.79,33.8,97,75,5.82
222,palabuhanratu,id,54.79,33.8,97,75,5.82
223,itarema,br,-2.92,76.6,98,80,4.38
224,khatanga,ru,71.98,-12.42,79,32,11.99
225,atuona,pf,-9.8,77.99,100,92,10.54
226,port lincoln,au,-34.72,64.31,97,68,8.86
227,hofn,is,64.25,39.02,100,92,7.07
228,taolanaro,mg,64.25,39.02,100,92,7.07
229,tiksi,ru,71.64,-0.27,64,64,6.73
230,saint-philippe,re,45.36,49.06,61,90,9.17
231,puerto ayora,ec,-0.74,82.4,69,75,12.75
232,haines junction,ca,60.75,21.47,85,76,2.37
233,high rock,bs,26.63,80.6,57,40,8.05
234,vung tau,vn,10.35,78.8,83,40,5.82
235,touros,br,-5.2,77.45,100,80,7.52
236,albany,au,42.65,46.06,93,90,3.36
237,durant,us,33.99,62.58,63,90,16.11
238,guerrero negro,mx,27.97,76.1,38,0,12.77
239,batagay-alyta,ru,67.8,-8.78,60,56,2.82
240,kapaa,us,22.08,75.2,73,75,9.17
241,bandarbeyla,so,9.49,79.52,100,8,7.63
242,kavaratti,in,10.57,83.66,100,0,9.75
243,kardymovo,ru,54.89,11.75,69,20,6.29
244,yumen,cn,40.29,39.79,47,0,3.15
245,luanda,ao,-8.83,80.6,74,0,6.93
246,hobart,au,-42.88,60.8,59,20,10.29
247,port hedland,au,-20.31,78.8,65,0,3.36
248,ushuaia,ar,-54.81,50,76,75,14.99
249,vaini,to,15.34,68.27,95,0,2.59
250,kodiak,us,39.95,42.8,70,90,8.05
251,entre rios,bo,-11.94,80.91,79,44,9.08
252,santa cruz de tenerife,es,28.47,62.22,93,75,11.41
253,san patricio,mx,-26.98,80.51,78,8,2.37
254,yellowknife,ca,62.45,-7.61,48,5,8.05
255,chuy,uy,-33.69,75.29,90,80,6.73
256,yellowknife,ca,62.45,-7.61,48,5,8.05
257,busselton,au,-33.64,60.71,100,8,16.24
258,talnakh,ru,69.49,-14,42,24,4.61
259,qaanaaq,gl,77.48,-9.68,84,0,4.94
260,corinto,br,-18.36,79.61,49,8,7.29
261,hermanus,za,-34.42,59.99,92,88,0.69
262,jamestown,sh,-33.21,42.8,88,0,3.15
263,domoni,km,-33.21,42.8,88,0,3.15
264,mys shmidta,ru,-33.21,42.8,88,0,3.15
265,bandarbeyla,so,9.49,79.52,100,8,7.63
266,ostrovnoy,ru,68.05,21.02,94,76,10.54
267,rikitea,pf,-23.12,78.89,100,0,2.15
268,rikitea,pf,-23.12,78.89,100,0,2.15
269,bengkulu,id,-23.12,78.89,100,0,2.15
270,fort nelson,ca,58.81,14,43,90,2.24
271,grindavik,is,63.84,39.2,86,0,4.7
272,tual,id,-5.67,82.04,100,44,9.98
273,vila franca do campo,pt,37.72,59,67,40,11.41
274,bali chak,in,22.37,78.17,86,8,12.33
275,asau,tv,22.37,78.17,86,8,12.33
276,beloha,mg,-25.17,74.44,67,0,15.79
277,tortoli,it,39.93,64.4,48,0,9.17
278,ushuaia,ar,-54.81,50,76,75,14.99
279,vaini,to,15.34,68.27,95,0,2.59
280,port elizabeth,za,39.31,65.62,56,1,4.7
281,tura,ru,25.52,63.41,94,0,6.17
282,geraldton,au,49.72,26.6,35,20,9.17
283,albany,au,42.65,46.06,93,90,3.36
284,batsfjord,no,70.63,30.2,100,80,12.21
285,faanui,pf,-16.48,82.49,100,0,12.66
286,carnarvon,au,-30.97,60.4,87,92,4.5
287,bambous virieux,mu,-20.34,80.6,78,75,9.17
288,walvis bay,na,-22.95,62.6,77,12,5.82
289,kisangani,cd,0.52,73.22,96,12,3.15
290,fairland,us,39.08,70.5,53,1,10.98
291,tasiilaq,gl,65.61,28.4,58,36,5.82
292,atuona,pf,-9.8,77.99,100,92,10.54
293,chokurdakh,ru,70.62,-17.32,50,12,2.93
294,faanui,pf,-16.48,82.49,100,0,12.66
295,mar del plata,ar,-46.43,64.22,39,0,15.79
296,bluff,nz,-23.58,73.98,71,0,13.22
297,attawapiskat,ca,-23.58,73.98,71,0,13.22
298,kapaa,us,22.08,75.2,73,75,9.17
299,bibiani,gh,6.45,77.45,91,88,3.04
300,atuona,pf,-9.8,77.99,100,92,10.54
301,san lorenzo,ar,-25.34,82.4,74,75,5.82
302,sunrise manor,us,36.21,74.55,11,40,9.17
303,bafq,ir,31.6,62.29,21,0,6.96
304,mwinilunga,zm,-11.73,59.68,96,12,2.37
305,saint-joseph,re,43.56,54.91,81,0,2.24
306,pochinki,ru,54.7,7.11,62,24,2.82
307,kununurra,au,-15.77,78.8,88,75,2.82
308,busselton,au,-33.64,60.71,100,8,16.24
309,taolanaro,mg,-33.64,60.71,100,8,16.24
310,killarney,ca,-28.34,67.41,97,68,5.06
311,albany,au,42.65,46.06,93,90,3.36
312,hithadhoo,mv,-0.6,85.19,100,0,3.71
313,ushuaia,ar,-54.81,50,76,75,14.99
314,tangshan,cn,39.63,38.66,54,24,3.83
315,bandarbeyla,so,9.49,79.52,100,8,7.63
316,vaini,to,15.34,68.27,95,0,2.59
317,tabou,ci,4.42,81.64,100,44,7.4
318,saint george,bm,39.45,46.4,70,0,2.82
319,vaini,to,15.34,68.27,95,0,2.59
320,tsihombe,mg,15.34,68.27,95,0,2.59
321,severo-kurilsk,ru,50.68,28.76,100,64,6.17
322,mataura,pf,-46.19,61.52,76,20,12.33
323,skeldon,gy,5.88,81.5,92,0,14.9
324,georgetown,sh,6.8,86,58,40,16.11
325,walvis bay,na,-22.95,62.6,77,12,5.82
326,teguldet,ru,57.31,27.5,82,0,8.63
327,pringsewu,id,-5.36,73.4,89,32,3.27
328,bubaque,gw,11.28,78.8,83,0,13.87
329,cape town,za,-33.93,62.6,93,90,11.41
330,rikitea,pf,-23.12,78.89,100,0,2.15
331,punta arenas,cl,-53.16,50.85,40,0,13.87
332,sentyabrskiy,ru,-53.16,50.85,40,0,13.87
333,douglas,us,31.34,71.6,12,1,4.27
334,imbituba,br,-28.24,75.2,94,75,8.63
335,qaanaaq,gl,77.48,-9.68,84,0,4.94
336,nyimba,zm,-14.56,68.22,92,20,2.71
337,avarua,ck,-21.21,84.2,74,75,6.93
338,san pedro,bz,-33.68,85.41,43,0,4.16
339,ushuaia,ar,-54.81,50,76,75,14.99
340,hilo,us,19.71,66.92,65,1,8.05
341,centralia,us,39.21,48.2,70,90,10.29
342,tasiilaq,gl,65.61,28.4,58,36,5.82
343,manta,co,45.1,36.14,89,48,1.03
344,hobart,au,-42.88,60.8,59,20,10.29
345,codrington,ag,-28.95,69.85,100,48,3.71
346,ushuaia,ar,-54.81,50,76,75,14.99
347,ardistan,ir,-54.81,50,76,75,14.99
348,mataura,pf,-46.19,61.52,76,20,12.33
349,bredasdorp,za,-34.53,66.2,88,100,2.24
350,provideniya,ru,64.42,28.9,98,80,13
351,busselton,au,-33.64,60.71,100,8,16.24
352,nicoya,cr,10.15,95,36,0,16.11
353,tsihombe,mg,10.15,95,36,0,16.11
354,ushuaia,ar,-54.81,50,76,75,14.99
355,thompson,ca,55.74,3.2,49,75,18.34
356,bowen,au,-20.01,73.4,88,0,3.36
357,touros,br,-5.2,77.45,100,80,7.52
358,rikitea,pf,-23.12,78.89,100,0,2.15
359,katsuura,jp,33.93,43.7,82,0,6.73
360,busselton,au,-33.64,60.71,100,8,16.24
361,busselton,au,-33.64,60.71,100,8,16.24
362,naugarzan,tj,-33.64,60.71,100,8,16.24
363,cape town,za,-33.93,62.6,93,90,11.41
364,sitka,us,37.17,58.1,65,0,5.84
365,chulym,ru,55.09,35.82,96,92,19.48
366,carnarvon,au,-30.97,60.4,87,92,4.5
367,bengkulu,id,-30.97,60.4,87,92,4.5
368,half moon bay,us,37.46,75.61,46,1,10.29
369,tilichiki,ru,60.47,32.9,95,92,13.44
370,datong,cn,40.09,31.19,75,32,2.71
371,hobart,au,-42.88,60.8,59,20,10.29
372,cape town,za,-33.93,62.6,93,90,11.41
373,qaqortoq,gl,60.72,35.6,43,44,3.36
374,bambous virieux,mu,-20.34,80.6,78,75,9.17
375,ambulu,id,-8.35,79.34,100,44,7.63
376,egvekinot,ru,66.32,3.87,78,20,3.6
377,laguna,br,27.52,86,13,5,10.29
378,cape town,za,-33.93,62.6,93,90,11.41
379,rikitea,pf,-23.12,78.89,100,0,2.15
380,pedernales,do,0.07,76.69,99,80,4.72
381,nizhneyansk,ru,0.07,76.69,99,80,4.72
382,atuona,pf,-9.8,77.99,100,92,10.54
383,mahebourg,mu,-20.41,80.6,78,75,9.17
384,kapaa,us,22.08,75.2,73,75,9.17
385,butaritari,ki,3.07,80.73,100,36,6.85
386,bredasdorp,za,-34.53,66.2,88,100,2.24
387,mataura,pf,-46.19,61.52,76,20,12.33
388,punta arenas,cl,-53.16,50.85,40,0,13.87
389,kapaa,us,22.08,75.2,73,75,9.17
390,kodiak,us,39.95,42.8,70,90,8.05
391,puerto ayora,ec,-0.74,82.4,69,75,12.75
392,punta arenas,cl,-53.16,50.85,40,0,13.87
393,lagoa,pt,37.14,55.4,62,20,17.22
394,northam,au,51.04,40.23,93,20,6.93
395,hithadhoo,mv,-0.6,85.19,100,0,3.71
396,deputatskiy,ru,69.3,-22.18,30,0,3.94
397,qaanaaq,gl,77.48,-9.68,84,0,4.94
398,najran,sa,17.54,78.8,12,0,11.41
399,mahebourg,mu,-20.41,80.6,78,75,9.17
400,buchanan,lr,5.88,82.4,83,40,3.83
401,punta arenas,cl,-53.16,50.85,40,0,13.87
402,tuktoyaktuk,ca,69.44,-4.01,64,5,16.11
403,taolanaro,mg,69.44,-4.01,64,5,16.11
404,rikitea,pf,-23.12,78.89,100,0,2.15
405,kerrobert,ca,51.92,6.8,71,75,5.82
406,albany,au,42.65,46.06,93,90,3.36
407,hobart,au,-42.88,60.8,59,20,10.29
408,skopje,mk,42,44.6,75,0,2.24
409,kaitangata,nz,-46.28,61.39,78,56,9.31
410,hilo,us,19.71,66.92,65,1,8.05
411,hilo,us,19.71,66.92,65,1,8.05
412,bambous virieux,mu,-20.34,80.6,78,75,9.17
413,kayerkan,ru,69.35,-12.19,58,24,4.83
414,puerto ayora,ec,-0.74,82.4,69,75,12.75
415,rikitea,pf,-23.12,78.89,100,0,2.15
416,thompson,ca,55.74,3.2,49,75,18.34
417,cherskiy,ru,68.75,3.56,73,80,3.71
418,rikitea,pf,-23.12,78.89,100,0,2.15
419,barrow,us,-38.31,73.31,51,0,11.77
420,tiksi,ru,71.64,-0.27,64,64,6.73
421,zhigansk,ru,66.77,5,60,76,13.11
422,hohhot,cn,40.81,55.4,35,0,6.71
423,bredasdorp,za,-34.53,66.2,88,100,2.24
424,ushuaia,ar,-54.81,50,76,75,14.99
425,luderitz,na,-26.65,62.6,88,0,8.05
426,busselton,au,-33.64,60.71,100,8,16.24
427,yeppoon,au,-23.13,73.4,73,44,6.93
428,ponta do sol,cv,-20.63,76.41,57,0,3.49
429,guican,co,6.46,55.9,92,76,1.14
430,punta arenas,cl,-53.16,50.85,40,0,13.87
431,kruisfontein,za,-34,62.46,100,76,11.1
432,samana,do,0.12,80.6,83,75,5.82
433,port alfred,za,-33.59,67.69,100,92,2.59
434,vaini,to,15.34,68.27,95,0,2.59
435,mys shmidta,ru,15.34,68.27,95,0,2.59
436,puerto escondido,mx,15.86,86,66,5,9.17
437,qaanaaq,gl,77.48,-9.68,84,0,4.94
438,vaini,to,15.34,68.27,95,0,2.59
439,busselton,au,-33.64,60.71,100,8,16.24
440,busselton,au,-33.64,60.71,100,8,16.24
441,te anau,nz,-45.41,56.61,83,20,9.64
442,bandarbeyla,so,9.49,79.52,100,8,7.63
443,jamestown,sh,-33.21,42.8,88,0,3.15
444,bluff,nz,-23.58,73.98,71,0,13.22
445,jamestown,sh,-33.21,42.8,88,0,3.15
446,reyes,bo,-14.3,86.86,58,75,2.37
447,boca do acre,br,-8.76,87.12,67,20,2.37
448,mataura,pf,-46.19,61.52,76,20,12.33
449,port elizabeth,za,39.31,65.62,56,1,4.7
450,taolanaro,mg,39.31,65.62,56,1,4.7
451,umzimvubu,za,39.31,65.62,56,1,4.7
452,mar del plata,ar,-46.43,64.22,39,0,15.79
453,rikitea,pf,-23.12,78.89,100,0,2.15
454,hithadhoo,mv,-0.6,85.19,100,0,3.71
455,punta arenas,cl,-53.16,50.85,40,0,13.87
456,atuona,pf,-9.8,77.99,100,92,10.54
457,vaini,to,15.34,68.27,95,0,2.59
458,barrow,us,-38.31,73.31,51,0,11.77
459,khatanga,ru,71.98,-12.42,79,32,11.99
460,punta arenas,cl,-53.16,50.85,40,0,13.87
461,ushuaia,ar,-54.81,50,76,75,14.99
462,kenai,us,60.55,33.8,69,1,3.6
463,constitucion,mx,23.99,69.8,7,5,8.05
464,puerto ayora,ec,-0.74,82.4,69,75,12.75
465,vila franca do campo,pt,37.72,59,67,40,11.41
466,cayenne,gf,4.94,82.4,74,75,12.75
467,barentsburg,sj,4.94,82.4,74,75,12.75
468,dondo,mz,-19.62,78.8,83,0,5.5
469,cape town,za,-33.93,62.6,93,90,11.41
470,belushya guba,ru,-33.93,62.6,93,90,11.41
471,dondo,mz,-19.62,78.8,83,0,5.5
472,san cristobal,ec,-0.39,62.6,67,75,13.87
473,guajara,br,-0.88,78.8,83,75,8.05
474,kruisfontein,za,-34,62.46,100,76,11.1
475,bluff,nz,-23.58,73.98,71,0,13.22
476,pisco,pe,-13.71,75.2,64,0,18.34
477,fortuna,us,38.18,59.23,93,0,2.24
478,myrtle beach,us,33.7,73.71,53,1,16.11
479,port elizabeth,za,39.31,65.62,56,1,4.7
480,koumac,nc,-20.56,78.8,90,20,9.64
481,hobart,au,-42.88,60.8,59,20,10.29
482,ushuaia,ar,-54.81,50,76,75,14.99
483,nikolskoye,ru,59.7,21.2,85,0,4.47
484,ushuaia,ar,-54.81,50,76,75,14.99
485,merauke,id,-8.49,77.72,100,64,1.7
486,illoqqortoormiut,gl,-8.49,77.72,100,64,1.7
487,shingu,jp,33.72,54.27,100,0,11.21
488,huarmey,pe,-10.07,76.1,59,20,3.83
489,bilma,ne,18.69,63.19,31,0,5.39
490,sitka,us,37.17,58.1,65,0,5.84
491,sao felix do xingu,br,-6.64,75.33,95,92,2.59
492,avarua,ck,-21.21,84.2,74,75,6.93
493,mar del plata,ar,-46.43,64.22,39,0,15.79
494,rikitea,pf,-23.12,78.89,100,0,2.15
495,vaini,to,15.34,68.27,95,0,2.59
496,bredasdorp,za,-34.53,66.2,88,100,2.24
497,visegrad,ba,43.78,46.4,61,0,9.17
498,mys shmidta,ru,43.78,46.4,61,0,9.17
499,westport,nz,53.8,37.4,93,75,9.17
500,tiksi,ru,71.64,-0.27,64,64,6.73
501,taolanaro,mg,71.64,-0.27,64,64,6.73
502,narsaq,gl,60.91,35.6,43,48,3.36
503,cabo san lucas,mx,22.89,83.5,89,5,14.99
504,new norfolk,au,-42.78,60.8,59,20,10.29
505,gorno-chuyskiy,ru,-42.78,60.8,59,20,10.29
506,kaitangata,nz,-46.28,61.39,78,56,9.31
507,santa marta,co,11.24,91.4,52,40,6.93
508,samarai,pg,-10.62,83.8,100,64,20.83
509,mar del plata,ar,-46.43,64.22,39,0,15.79
510,belushya guba,ru,-46.43,64.22,39,0,15.79
511,kawalu,id,-7.38,58.91,94,20,1.92
512,nikolskoye,ru,59.7,21.2,85,0,4.47
513,vredendal,za,-31.68,59.81,100,92,1.03
514,rikitea,pf,-23.12,78.89,100,0,2.15
515,rocha,uy,-34.48,76.46,78,64,3.71
516,thunder bay,ca,48.41,32,50,75,8.05
517,ritchie,za,-29.03,66.2,88,100,1.12
518,tsihombe,mg,-29.03,66.2,88,100,1.12
519,lazaro cardenas,mx,28.39,71.6,13,5,3.36
520,hobart,au,-42.88,60.8,59,20,10.29
521,tumannyy,ru,-42.88,60.8,59,20,10.29
522,attawapiskat,ca,-42.88,60.8,59,20,10.29
523,castro,cl,-42.48,57.29,74,80,3.94
524,bloomfield,us,40.75,47.75,77,1,14.99
525,dingle,ie,11,66.87,92,0,3.15
526,cape town,za,-33.93,62.6,93,90,11.41
527,kuche,cn,-33.93,62.6,93,90,11.41
